label,alpha_mean,beta_mean,W1_alpha,W1_beta,CRPS_alpha,CRPS_beta,fault_acc
2-D clean Sc7,0.9791918,0.7796797,0.0211252025192976,0.07610482464441655,0.01890382632886991,0.054241376210838556,0.96
2-D drift,0.93167955,0.6157559,0.06865644326895476,0.2348167653675973,0.06656821642300115,0.21350048898866775,1.0
4-D drift,0.96600544,0.7110711,0.042696888406276695,0.15738686915546712,0.02081321760684252,0.08703061040550532,1.0
