config,scenario_id,mode,rep_idx,true_class,pred_class,wall_time_s,success
minimal (6),6,open_loop,4,fouling_dominant,fouling_dominant,118.80112375016324,True
minimal (6),7,closed_loop,0,fouling_dominant,fouling_dominant,43.678348208079115,True
minimal (6),7,closed_loop,1,fouling_dominant,fouling_dominant,51.348341166973114,True
minimal (6),7,closed_loop,2,fouling_dominant,fouling_dominant,45.596994834020734,True
minimal (6),7,closed_loop,3,fouling_dominant,fouling_dominant,66.13892620895058,True
minimal (6),7,closed_loop,4,fouling_dominant,fouling_dominant,59.97223650012165,True
full (29),0,open_loop,0,healthy,combined,43.667330916039646,True
full (29),0,open_loop,1,healthy,combined,42.852137374924496,True
full (29),0,open_loop,2,healthy,fouling_dominant,35.25066929194145,True
full (29),0,open_loop,3,healthy,combined,63.11809887504205,True
full (29),0,open_loop,4,healthy,combined,36.7157005420886,True
full (29),1,closed_loop,0,healthy,fouling_dominant,74.57472266699187,True
full (29),1,closed_loop,1,healthy,fouling_dominant,42.94324699998833,True
full (29),1,closed_loop,2,healthy,fouling_dominant,32.27526737493463,True
full (29),1,closed_loop,3,healthy,fouling_dominant,58.21645729220472,True
full (29),1,closed_loop,4,healthy,fouling_dominant,54.750721332849935,True
full (29),2,closed_loop,0,fouling_dominant,fouling_dominant,41.7052387080621,True
full (29),2,closed_loop,1,fouling_dominant,fouling_dominant,105.0635300418362,True
full (29),2,closed_loop,2,fouling_dominant,combined,3457.1396092919167,True
full (29),2,closed_loop,3,fouling_dominant,fouling_dominant,52.77714287512936,True
full (29),2,closed_loop,4,fouling_dominant,fouling_dominant,39.284032416995615,True
full (29),3,closed_loop,0,decay_dominant,decay_dominant,104.62422541691922,True
full (29),3,closed_loop,1,decay_dominant,decay_dominant,93.90698004188016,True
full (29),3,closed_loop,2,decay_dominant,combined,53.85057545895688,True
full (29),3,closed_loop,3,decay_dominant,combined,73.23150374996476,True
full (29),3,closed_loop,4,decay_dominant,decay_dominant,156.97383183403872,True
full (29),4,closed_loop,0,combined,combined,37.34440100006759,True
full (29),4,closed_loop,1,combined,combined,91.61665266705677,True
full (29),4,closed_loop,2,combined,combined,38.225127042038366,True
full (29),4,closed_loop,3,combined,combined,45.956941292155534,True
full (29),4,closed_loop,4,combined,combined,42.23651612503454,True
full (29),5,closed_loop,0,fouling_dominant,fouling_dominant,58.5783860408701,True
full (29),5,closed_loop,1,fouling_dominant,fouling_dominant,64.97493591695093,True
full (29),5,closed_loop,2,fouling_dominant,fouling_dominant,85.85283374995925,True
full (29),5,closed_loop,3,fouling_dominant,fouling_dominant,65.39697604184039,True
full (29),5,closed_loop,4,fouling_dominant,fouling_dominant,59.25123416609131,True
full (29),6,open_loop,0,fouling_dominant,fouling_dominant,86.28803437505849,True
full (29),6,open_loop,1,fouling_dominant,fouling_dominant,63.74045820790343,True
full (29),6,open_loop,2,fouling_dominant,fouling_dominant,121.25107983290218,True
full (29),6,open_loop,3,fouling_dominant,fouling_dominant,85.66644587507471,True
full (29),6,open_loop,4,fouling_dominant,fouling_dominant,155.76307341596112,True
full (29),7,closed_loop,0,fouling_dominant,fouling_dominant,43.04075683304109,True
full (29),7,closed_loop,1,fouling_dominant,fouling_dominant,49.416252667084336,True
full (29),7,closed_loop,2,fouling_dominant,fouling_dominant,44.50885604205541,True
full (29),7,closed_loop,3,fouling_dominant,fouling_dominant,49.868499542120844,True
full (29),7,closed_loop,4,fouling_dominant,fouling_dominant,50.86085754213855,True
