seed,min_ks_pvalue,alpha_ks_pvalue,alpha_mean_rank_frac,beta_r_ks_pvalue,beta_r_mean_rank_frac,eta_col_ks_pvalue,eta_col_mean_rank_frac,xi_reb_ks_pvalue,xi_reb_mean_rank_frac,z_A0_eff_ks_pvalue,z_A0_eff_mean_rank_frac
3,0.00041161149925867145,0.0006191797248023328,0.5504,0.0009220330105526408,0.5561125,0.00041161149925867145,0.5514875,0.38146069598631605,0.5192375,0.021066709744575515,0.5291625
7,0.00027086679544835213,0.8534115453673419,0.4967125,0.00027086679544835213,0.5528625,0.04985744909790568,0.5348375,0.0009220330105526408,0.4495375,0.1365585999867185,0.5289375
2,1.089164739716021e-05,0.10777126907396828,0.5294875,0.26121244607129135,0.5149750000000001,0.00041161149925867145,0.44604999999999995,1.089164739716021e-05,0.5785875,0.02835831399461941,0.47057499999999997
6,4.6569144231464296e-07,0.002865284783147989,0.449675,0.00017644869168077074,0.45289999999999997,4.6569144231464296e-07,0.5764125,0.015493137121689928,0.52305,0.021066709744575658,0.46665
1,2.656868486000552e-07,0.004097587262520968,0.5391375,0.9145085317024079,0.5008250000000001,2.656868486000552e-07,0.569275,0.6976614726937245,0.5132,0.0009220330105526328,0.5471
5,3.790697711632643e-14,0.958587734178129,0.5006875000000001,0.011279924749605437,0.475125,0.6976614726937255,0.4891375,3.790697711632643e-14,0.6233375,0.5308900595856962,0.4921625
0,1.0415248039563284e-16,0.015493137121690035,0.4577875,0.1712818347061995,0.522325,0.037791217735146265,0.519075,1.0415248039563284e-16,0.3739,0.002865284783147966,0.456325
4,3.421116842120264e-21,0.9962957072474701,0.5031,1.3765139318104804e-08,0.410125,0.06511748679419582,0.4598125,3.421116842120264e-21,0.33645,0.008130081546801605,0.46613750000000004
