idx,name,finite_frac,median,iqr,min,max,outlier_frac_gt_10iqr,outlier_count_gt_10iqr,abs_skew,kurtosis
48,V_norm_mean,1.0,0.4054940342903137,0.00020954012870788574,0.39332205057144165,0.6633785367012024,0.22273333333333334,3341,2.062904119491577,2.869013547897339
53,V_norm_q_mean,1.0,0.40552324056625366,0.000408172607421875,0.38984113931655884,0.6634307503700256,0.22053333333333333,3308,2.062727928161621,2.8684186935424805
52,V_norm_max,1.0,0.4081491529941559,0.0011133551597595215,0.4068257510662079,0.6678608655929565,0.22013333333333332,3302,2.0592806339263916,2.855508327484131
51,V_norm_min,1.0,0.40306976437568665,0.0008015930652618408,0.38705316185951233,0.6595568060874939,0.216,3240,2.066476345062256,2.8834969997406006
61,Vn_final,1.0,0.40579724311828613,0.002285391092300415,0.38909047842025757,0.6632058620452881,0.20806666666666668,3121,2.062309741973877,2.8687596321105957
15,Q_j_min,1.0,15.179176330566406,1.0494804382324219,-12.47191047668457,16.111879348754883,0.0948,1422,2.7261276245117188,5.528383255004883
1,T_r_std,1.0,0.7176510095596313,0.0515744686126709,0.5490208864212036,1.9907002449035645,0.007733333333333333,116,5.850795745849609,47.308658599853516
49,V_norm_std,1.0,0.0015263862442225218,0.00022914318833500147,0.001110931858420372,0.01188427023589611,0.005733333333333333,86,6.338564872741699,74.92864227294922
32,F_R_norm_slope,1.0,-0.00011763909424189478,0.0007334798574447632,-0.003039195202291012,0.031155593693256378,0.0051333333333333335,77,8.936675071716309,120.17420196533203
50,V_norm_slope,1.0,2.2083554540586192e-06,0.00034301282721571624,-0.015497763641178608,0.005884690675884485,0.005066666666666666,76,11.808186531066895,193.90383911132812
17,Q_j_q_mean,1.0,15.776853561401367,0.3049135208129883,-10.22645092010498,16.437971115112305,0.004666666666666667,70,18.380491256713867,372.94610595703125
31,F_R_norm_std,1.0,0.0030289795249700546,0.00034127896651625633,0.0022673308849334717,0.01905972883105278,0.004666666666666667,70,10.817538261413574,178.4701690673828
3,T_r_min,1.0,5.829734802246094,0.0020241737365722656,5.789371967315674,5.833777904510498,0.0046,69,4.891172409057617,35.641807556152344
5,T_r_q_mean,1.0,5.837656497955322,0.0011115074157714844,5.804747581481934,5.841009616851807,0.004333333333333333,65,8.068614959716797,105.24075317382812
0,T_r_mean,1.0,5.837602138519287,0.0008821487426757812,5.816869735717773,5.83958625793457,0.003533333333333333,53,7.895877361297607,99.86083984375
