phase,alpha_MAE,beta_MAE,alpha_CRPS,beta_CRPS,fault_acc
Days 0–10,0.002300941115176236,0.03338634641854851,0.0014628173063906504,0.024030550919801073,1.0
Days 10–20,0.0035492819691145864,0.034137986088240584,0.0025447848272242926,0.024270679434199027,0.9875
Days 20–30,0.005699811693694856,0.034686006496349966,0.00465063321068781,0.025201855941214713,0.8958333333333334
