scenario,model,beta_true,beta_mean,W1_beta,CRPS_beta,fault_acc
Sc2,CL-SBI,0.699999988079071,0.544153094291687,0.1565711761433631,0.14013369971700013,1.0
Sc2,OL-SBI,0.699999988079071,0.29493457078933716,0.4776184316113685,0.4768804477051034,0.88
Sc6,CL-SBI,0.699999988079071,0.8287604451179504,0.12976789241966907,0.11024630690303747,0.86
Sc6,OL-SBI,0.699999988079071,0.7811673283576965,0.2225208773457864,0.09949513904689346,0.0
