scenario,mode,n_replicates,alpha_true,beta_true,alpha_mean,alpha_std,alpha_mae,alpha_cov90,beta_mean,beta_std,beta_mae,beta_cov90,true_class,classification_accuracy,f1_true_class
Sc0_open_healthy,open_loop,50,1.0,1.0,0.9618329894542694,0.009054367083042338,0.038167010545730594,0.0,0.9079264008998871,0.025261540972737685,0.09207359910011291,0.04,healthy,0.6,0.7499999999999999
Sc1_closed_healthy,closed_loop,50,1.0,1.0,0.9992327499389648,0.0026753320508562497,0.002279038429260254,0.94,1.0001686084270478,0.033920308043823094,0.027625166177749634,0.9,healthy,1.0,1.0
Sc2_closed_fouling,closed_loop,50,1.0,0.699999988079071,1.0001160728931426,0.005317723916178201,0.0042518794536590574,0.92,0.6977624118328094,0.015233325140215886,0.012408403158187866,0.86,fouling_dominant,1.0,1.0
Sc3_closed_decay,closed_loop,50,0.699999988079071,1.0,0.7002903866767883,0.0017136964588986318,0.0013701748847961426,0.94,1.0055469477176666,0.03474497073279657,0.02737803339958191,0.9,decay_dominant,1.0,1.0
Sc4_closed_combined,closed_loop,50,0.8500000238418579,0.8500000238418579,0.8509089529514313,0.0034236857025459664,0.0030340588092803954,0.88,0.8460237121582032,0.021476370025828247,0.01890075922012329,0.94,combined,1.0,1.0
Sc5_closed_saturated,closed_loop,50,1.0,0.4000000059604645,1.0152458548545837,0.010009894819547912,0.015429933071136475,0.7,0.43609535932540894,0.023922841267916325,0.03620994806289673,0.62,fouling_dominant,1.0,1.0
Sc6_open_with_fault,open_loop,50,1.0,0.699999988079071,1.0239870965480804,0.011057042300196083,0.02407070279121399,0.06,0.9308214581012726,0.016723039708433494,0.23082147002220155,0.0,fouling_dominant,0.02,0.0392156862745098
Sc7_closed_drift,closed_loop,50,1.0,0.8500000238418579,0.9733741819858551,0.005007348069008532,0.026625818014144896,0.0,0.8904647111892701,0.03645667843111151,0.0469518780708313,0.52,fouling_dominant,0.5,0.6666666666666666
