scenario,alpha_true,beta_true,W1_alpha,W1_beta,CRPS_alpha,CRPS_beta,fault_acc
Sc4,0.85,0.85,0.01234208375984428,0.06832681945979593,0.01035168870655445,0.047824921547323464,0.94
Sc5,1.0,0.4,0.1935619497461617,0.1521461736859605,0.1929872904818964,0.1496609557494779,1.0
